序号,来源,类型,效力层级,标题,发布机关,文号,发布日期,施行日期,时效性/现行版本,适用范围,是否已入库,文件路径,来源URL,备注
440,pkulaw,案例,司法案例,汕头市澄海区森野塑料制品厂与广东澄星无人机股份有限公司买卖合同纠纷一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\汕头市澄海区森野塑料制品厂与广东澄星无人机股份有限公司买卖合同纠纷一审民事判决书(FBMCLI.C.88906168).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc43ffb53800f787f372105a4e276ef,引证码FBMCLI.C.88906168｜司法案例(单独管线)
441,pkulaw,案例,司法案例,汕头市澄海区港口建筑工程有限公司、广东澄星无人机股份有限公司其他案由执行实施类执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\汕头市澄海区港口建筑工程有限公司、广东澄星无人机股份有限公司其他案由执行实施类执行裁定书(FBMCLI.C.311415586).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0a23db5ce713f5ab708b2fcd6a357f,引证码FBMCLI.C.311415586｜司法案例(单独管线)
442,pkulaw,案例,司法案例,汕头市澄海区港口建筑工程有限公司与广东澄星无人机股份有限公司建设工程施工合同纠纷一案民事一审判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\汕头市澄海区港口建筑工程有限公司与广东澄星无人机股份有限公司建设工程施工合同纠纷一案民事一审判决书(FBMCLI.C.106099789).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4cb561964fb292fa3b41a7b92d9b,引证码FBMCLI.C.106099789｜司法案例(单独管线)
443,pkulaw,案例,司法案例,汕头市澄海区澄华成大电子玩具厂、广东澄星无人机股份有限公司买卖合同纠纷执行实施类执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\汕头市澄海区澄华成大电子玩具厂、广东澄星无人机股份有限公司买卖合同纠纷执行实施类执行裁定书(FBMCLI.C.316560241).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0a4035956db375194b8dde7f0f6d3,引证码FBMCLI.C.316560241｜司法案例(单独管线)
444,pkulaw,案例,司法案例,汕头市澄海区澄华成大电子玩具厂与广东澄星无人机股份有限公司买卖合同纠纷一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\汕头市澄海区澄华成大电子玩具厂与广东澄星无人机股份有限公司买卖合同纠纷一审民事判决书(FBMCLI.C.74308232).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4470c9028c47f402803d4b342e29,引证码FBMCLI.C.74308232｜司法案例(单独管线)
445,pkulaw,案例,司法案例,汕头市龙湖区科运电子厂与广东澄星无人机股份有限公司买卖合同纠纷一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\汕头市龙湖区科运电子厂与广东澄星无人机股份有限公司买卖合同纠纷一审民事判决书(FBMCLI.C.84461986).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc46a3f4d078f3f48698b433f3f4acf3,引证码FBMCLI.C.84461986｜司法案例(单独管线)
446,pkulaw,案例,司法案例,江苏南大安高人力资源有限公司天津分公司、汇农云创智能无人机科技（辽宁）有限公司合同纠纷民事一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\江苏南大安高人力资源有限公司天津分公司、汇农云创智能无人机科技（辽宁）有限公司合同纠纷民事一审民事裁定书(FBMCLI.C.504805466).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f206ad0be7935eeacbbabfd4b39161b2,引证码FBMCLI.C.504805466｜司法案例(单独管线)
447,pkulaw,案例,司法案例,江苏南大安高人力资源有限公司天津分公司与汇农云创智能无人机科技（辽宁）有限公司与公司、证券、保险、票据有关案件财产保...,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\江苏南大安高人力资源有限公司天津分公司与汇农云创智能无人机科技（辽宁）有限公司与公司、证券、保险、票据有关案件财产保...(FBMCLI.C.503371275).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f206f915331993eb08b44d6b371b802,引证码FBMCLI.C.503371275｜司法案例(单独管线)
448,pkulaw,案例,司法案例,江苏启源无人机科技有限公司与探马（安徽）科技有限公司买卖合同纠纷一案,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\江苏启源无人机科技有限公司与探马（安徽）科技有限公司买卖合同纠纷一案(FBMCLI.C.578761400).pdf,https://www.pkulaw.com/pfnl/c7ed112b8012f816acd1d21155ac2eb314a5b987ba8,引证码FBMCLI.C.578761400｜司法案例(单独管线)
449,pkulaw,案例,司法案例,江苏星睿航空科技有限公司、临沂威鹰无人机控制技术有限公司买卖合同纠纷首次执行执行通知书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\江苏星睿航空科技有限公司、临沂威鹰无人机控制技术有限公司买卖合同纠纷首次执行执行通知书(FBMCLI.C.412216685).pdf,https://www.pkulaw.com/pfnl/95b2ca8d4055fce17c517bb0b94b3db142eff1c6fcedf,引证码FBMCLI.C.412216685｜司法案例(单独管线)
450,pkulaw,案例,司法案例,江苏省常州市中级人民法院发布5起涉安全生产典型案例之二：周某过失致人死亡案——无人机作业致人死亡事故,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\江苏省常州市中级人民法院发布5起涉安全生产典型案例之二：周某过失致人死亡案——无人机作业致人死亡事故(FBMCLI.C.563768545).pdf,https://www.pkulaw.com/pfnl/c7ed112b8012f816c5fc99413b98a8894879db0b3d3,引证码FBMCLI.C.563768545｜司法案例(单独管线)
451,pkulaw,案例,司法案例,江苏省扬州市中级人民法院发布8起党支部领办“网格法庭”典型案例之六：王大叔与杨大叔财产损害赔偿纠纷案——经开区朴席镇...,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\江苏省扬州市中级人民法院发布8起党支部领办“网格法庭”典型案例之六：王大叔与杨大叔财产损害赔偿纠纷案——经开区朴席镇...(FBMCLI.C.557890869).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f2063452606d43e7acf1a547fef2af88d,引证码FBMCLI.C.557890869｜司法案例(单独管线)
452,pkulaw,案例,司法案例,江苏省高级人民法院发布12起1 4专项行动“暖企”“护企”典型案例之三：某厂房出租人与某科技公司租赁合同纠纷执行案——单...,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\江苏省高级人民法院发布12起1 4专项行动“暖企”“护企”典型案例之三：某厂房出租人与某科技公司租赁合同纠纷执行案——单...(FBMCLI.C.563067808).pdf,https://www.pkulaw.com/pfnl/c7ed112b8012f81695950a885d93173e28d4938398c,引证码FBMCLI.C.563067808｜司法案例(单独管线)
453,pkulaw,案例,司法案例,江苏航丰智控无人机有限公司与浙江智天科技有限公司、陈灵峰买卖合同纠纷,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\江苏航丰智控无人机有限公司与浙江智天科技有限公司、陈灵峰买卖合同纠纷(FBMCLI.C.59940668).pdf,https://www.pkulaw.com/pfnl/a25051f3312b07f336618360dfc9cf5c2ae79b4bb709,引证码FBMCLI.C.59940668｜司法案例(单独管线)
454,pkulaw,案例,司法案例,江西壮龙无人机科技有限公司、吴传宇租赁合同纠纷民事一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\江西壮龙无人机科技有限公司、吴传宇租赁合同纠纷民事一审民事判决书(FBMCLI.C.403143192).pdf,https://www.pkulaw.com/pfnl/95b2ca8d4055fce16b63a5c434b73d10772d01978f6,引证码FBMCLI.C.403143192｜司法案例(单独管线)
455,pkulaw,案例,司法案例,江西省高级人民法院发布2022年十大知识产权保护典型案例之八：广州亿航智能技术有限公司与南昌三瑞智能科技有限公司、江西新...,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\江西省高级人民法院发布2022年十大知识产权保护典型案例之八：广州亿航智能技术有限公司与南昌三瑞智能科技有限公司、江西新...(FBMCLI.C.504759175).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f206f7d84a69b376882cc078eddfa243,引证码FBMCLI.C.504759175｜司法案例(单独管线)
456,pkulaw,案例,司法案例,江西黑蜻蜓无人机科技有限公司、史孟洪执行实施类执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\江西黑蜻蜓无人机科技有限公司、史孟洪执行实施类执行裁定书(FBMCLI.C.60697276).pdf,https://www.pkulaw.com/pfnl/a25051f3312b07f3e638badd5c2f6c7ae28b39abc810,引证码FBMCLI.C.60697276｜司法案例(单独管线)
457,pkulaw,案例,司法案例,江西黑蜻蜓无人机科技有限公司诉史某某承揽合同纠纷案,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\江西黑蜻蜓无人机科技有限公司诉史某某承揽合同纠纷案(FBMCLI.C.46964464).pdf,https://www.pkulaw.com/pfnl/a25051f3312b07f36b7797bc56decf91d49e617f159d,引证码FBMCLI.C.46964464｜司法案例(单独管线)
458,pkulaw,案例,司法案例,沈阳上博智像科技有限公司与沈阳壮龙无人机产业研究院有限公司买卖合同纠纷一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\沈阳上博智像科技有限公司与沈阳壮龙无人机产业研究院有限公司买卖合同纠纷一审民事判决书(FBMCLI.C.500620916).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f2064a6c44bfbfd742dadb8f769aa1c38,引证码FBMCLI.C.500620916｜司法案例(单独管线)
459,pkulaw,案例,司法案例,沈阳上博智像科技有限公司与沈阳壮龙无人机产业研究院有限公司买卖合同纠纷首次执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\沈阳上博智像科技有限公司与沈阳壮龙无人机产业研究院有限公司买卖合同纠纷首次执行裁定书(FBMCLI.C.501916350).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f20693b246eb374ada9d92421cdd10c,引证码FBMCLI.C.501916350｜司法案例(单独管线)
460,pkulaw,案例,司法案例,沈阳上博智像科技有限公司与辽宁大壮无人机科技有限公司技术合同纠纷一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\沈阳上博智像科技有限公司与辽宁大壮无人机科技有限公司技术合同纠纷一审民事裁定书(FBMCLI.C.501153573).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f2063243d1a321ffb746729a170aa96f,引证码FBMCLI.C.501153573｜司法案例(单独管线)
461,pkulaw,案例,司法案例,沈阳东云无人机科技服务有限公司、沈阳绿环澄源热力有限公司等供用热力合同纠纷民事一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\沈阳东云无人机科技服务有限公司、沈阳绿环澄源热力有限公司等供用热力合同纠纷民事一审民事裁定书(FBMCLI.C.404389374).pdf,https://www.pkulaw.com/pfnl/95b2ca8d4055fce19bcc06558e64a9c824fa4b2776ad,引证码FBMCLI.C.404389374｜司法案例(单独管线)
462,pkulaw,案例,司法案例,沈阳东云无人机科技服务有限公司与沈阳绿环澄源热力有限公司供用热力合同纠纷一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\沈阳东云无人机科技服务有限公司与沈阳绿环澄源热力有限公司供用热力合同纠纷一审民事裁定书(FBMCLI.C.319887607).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0a1e0e86f7a08cfee634c5f7935bc4,引证码FBMCLI.C.319887607｜司法案例(单独管线)
463,pkulaw,案例,司法案例,沈阳丰瑞无人机科技有限公司、钱辉修理合同纠纷民事一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\沈阳丰瑞无人机科技有限公司、钱辉修理合同纠纷民事一审民事裁定书(FBMCLI.C.504607357).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f2068fe371b69e2393907f9897b72cd3,引证码FBMCLI.C.504607357｜司法案例(单独管线)
464,pkulaw,案例,司法案例,沈阳丰瑞无人机科技有限公司与钱辉返还原物纠纷一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\沈阳丰瑞无人机科技有限公司与钱辉返还原物纠纷一审民事裁定书(FBMCLI.C.503992731).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f206e6bcde4c993ced0ab54b275a621,引证码FBMCLI.C.503992731｜司法案例(单独管线)
465,pkulaw,案例,司法案例,沈阳华宇航空服务有限公司、汇农云创智能无人机科技（辽宁）有限公司合同纠纷民事一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\沈阳华宇航空服务有限公司、汇农云创智能无人机科技（辽宁）有限公司合同纠纷民事一审民事裁定书(FBMCLI.C.504816407).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f2064c1c85ca78e86f591d80f4f74f657,引证码FBMCLI.C.504816407｜司法案例(单独管线)
466,pkulaw,案例,司法案例,沈阳华宇航空服务有限公司与汇农云创智能无人机科技（辽宁）有限公司申请保全案件财产保全执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\沈阳华宇航空服务有限公司与汇农云创智能无人机科技（辽宁）有限公司申请保全案件财产保全执行裁定书(FBMCLI.C.504106497).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f206cb4ed8bd88e8785a40f75a88ed23,引证码FBMCLI.C.504106497｜司法案例(单独管线)
467,pkulaw,案例,司法案例,沈阳某无人机系统科技有限公司、吉林市某快递有限公司船营越山路分公司等财产损害赔偿纠纷民事一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\沈阳某无人机系统科技有限公司、吉林市某快递有限公司船营越山路分公司等财产损害赔偿纠纷民事一审民事判决书(FBMCLI.C.549914331).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f2068c34030a5737c39c22f39ab68ca3,引证码FBMCLI.C.549914331｜司法案例(单独管线)
468,pkulaw,案例,司法案例,河北某航空服务有限公司与北京某无人机科技有限公司买卖合同纠纷案,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\河北某航空服务有限公司与北京某无人机科技有限公司买卖合同纠纷案(FBMCLI.C.52373936).pdf,https://www.pkulaw.com/pfnl/a25051f3312b07f35a4f5ac549e755a9cf06c9b2d402,引证码FBMCLI.C.52373936｜司法案例(单独管线)
469,pkulaw,案例,司法案例,河北雄安新区中级人民法院发布6起2022年度执行典型案例之六：雄县法院李某申请执行潘某某借款合同纠纷案——无人机找人如虎添...,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\河北雄安新区中级人民法院发布6起2022年度执行典型案例之六：雄县法院李某申请执行潘某某借款合同纠纷案——无人机找人如虎添...(FBMCLI.C.504196166).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f2069462fcc3039ac1bb1927ac1f4cdcf,引证码FBMCLI.C.504196166｜司法案例(单独管线)
470,pkulaw,案例,司法案例,河北雄安远度科技有限公司与成都纵横大鹏无人机科技有限公司等侵害发明专利权纠纷一审鲁01民初2216号民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\河北雄安远度科技有限公司与成都纵横大鹏无人机科技有限公司等侵害发明专利权纠纷一审鲁01民初2216号民事裁定书(FBMCLI.C.316266816).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0ae52e095608163981d74a3ebfd0c,引证码FBMCLI.C.316266816｜司法案例(单独管线)
471,pkulaw,案例,司法案例,河南喜飞无人机技术开发有限公司、施昌武等服务合同纠纷民事一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\河南喜飞无人机技术开发有限公司、施昌武等服务合同纠纷民事一审民事判决书(FBMCLI.C.417763366).pdf,https://www.pkulaw.com/pfnl/95b2ca8d4055fce11b71a42c28f8d808b5088fab068e,引证码FBMCLI.C.417763366｜司法案例(单独管线)
472,pkulaw,案例,司法案例,河南某无人机农业服务有限公司;鲁某飞劳务合同纠纷一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\河南某无人机农业服务有限公司;鲁某飞劳务合同纠纷一审民事判决书(FBMCLI.C.561511511).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f206079cb7f761518d271cf132893f5fb,引证码FBMCLI.C.561511511｜司法案例(单独管线)
473,pkulaw,案例,司法案例,河南某某某无人机科技发展有限公司与山东某某航空有限公司合同纠纷首次执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\河南某某某无人机科技发展有限公司与山东某某航空有限公司合同纠纷首次执行裁定书(FBMCLI.C.552169368).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f206e3490590804c334962899193568,引证码FBMCLI.C.552169368｜司法案例(单独管线)
